lugar;longt;lat;barrio;comuna;categoria;domicilio
Alicia Moreau de Justo y Chile (estación Ecobici UCA);-58.3659;-34.6155;Puerto Madero;1;Espacios Publicos;Alicia Moreau de Justo y Chile
Anfiteatro Parque Centenario;-58.4357;-34.6065;Caballito;6;Espacios Publicos;Anfiteatro Parque Centenario
Caminito;-58.3621;-34.6395;La Boca;4;Espacios Publicos;Caminito
Facultad Derecho;-58.3924;-34.5833;Recoleta;2;Espacios Publicos;Av. Figueroa Alcorta 2263
Parque Centenario 1;-58.4336;-34.6053;Caballito;6;Parques y Plazas;Parque Centenario
Parque Chacabuco 1;-58.4431;-34.6342;Parque Chacabuco;7;Parques y Plazas;Parque Chacabuco
Parque Chacabuco 2;-58.4431;-34.6342;Parque Chacabuco;7;Parques y Plazas;Parque Chacabuco
Parque de la Memoria;-58.4309;-34.5466;Belgrano;13;Parques y Plazas;Av. Costanera Norte Rafael Obligado 6745
Parque del Precinto 12 (Plaza Hungria);-58.491;-34.5508;Saavedra;12;Espacios Publicos;Goyeneche y Ramallo
Parque Lezama;-58.3695;-34.6281;San Telmo;1;Parques y Plazas;Av. Martín García entre Paseo Colón y Defensa
Parque Sarmiento;-58.4994;-34.5588;Saavedra;12;Parques y Plazas;Parque Sarmiento
Parque Thays;-58.3871;-34.585;Recoleta;2;Parques y Plazas;Parque Thays
Plaza Lavalle;-58.3846;-34.6009;San Nicolas;1;Parques y Plazas;Plaza Lavalle
Av De Mayo y Perú;-58.3749;-34.6086;Montserrat;1;Parques y Plazas;Av. De Mayo y Perú
Biblioteca Alfonsina Storni;-58.3881;-34.6147;Montserrat;1;Bibliotecas;Venezuela 1538
Biblioteca Álvaro Yunque;-58.4636;-34.685;Villa Lugano;8;Bibliotecas;Soldado de la Frontera 5210
Biblioteca Antonio Devoto;-58.5109;-34.5993;Villa Devoto;11;Bibliotecas;Bahia Blanca 4025
Biblioteca Carlos Guido y Spano;-58.4239;-34.5814;Palermo;14;Bibliotecas;Güemes 4601
Biblioteca Cortázar;-58.4239;-34.5814;Palermo;14;Bibliotecas;Güemes 4601
Biblioteca del Docente;-58.3915;-34.6246;San Cristobal;3;Bibliotecas;Av. Entre Ríos 1349
Biblioteca El Progreso;-58.475;-34.6768;Villa Lugano;8;Bibliotecas;Av. Riestra 5655
Biblioteca Enrique Banchs;-58.4076;-34.6375;Parque Patricios;4;Bibliotecas;Av. Caseros y Urquiza
Biblioteca Javier Villafañe;-58.4351;-34.6478;Flores;7;Bibliotecas;Janer, Ana Maria Y Torres Y Tenorio, Pres.
Biblioteca José Mármol;-58.4617;-34.5649;Belgrano;13;Bibliotecas;Juramento 2937
Biblioteca Julio Cesar Saguier;-58.4747;-34.6635;Villa Lugano;8;Bibliotecas;Basualdo y Santander
Biblioteca Leopoldo Lugones;-58.4526;-34.5638;Belgrano;13;Bibliotecas;La Pampa 2215
Biblioteca Manuel Galvez;-58.3891;-34.5995;San Nicolas;1;Bibliotecas;Av. Córdoba 1558
Biblioteca Miguel Cané;-58.4263;-34.625;Boedo;5;Bibliotecas;Carlos Calvo 4319
Biblioteca Reina Batata;-58.4487;-34.5616;Belgrano;13;Bibliotecas;La Pampa y 11 de septiembre de 1888
Carlos Pellegrini 200;-58.3808;-34.6055;San Nicolas;1;Parques y Plazas;Carlos Pellegrini 200
Cementerio Chacarita;-58.4555;-34.5875;Chacarita;15;Espacios Publicos;Av. Guzmán 680
Centro Cultural del Sur;-58.3869;-34.6334;Barracas;4;Espacios Publicos;Av. Caseros 1750
Centro Municipal de Exposiciones;-58.3894;-34.583;Recoleta;2;Espacios Publicos;Eduardo J. Couture 2231
CESAC Nº 22;-58.4492;-34.5922;Chacarita;15;Hospitales y Centros de Salud;Guzmán 90 
CESAC Nº 34;-58.4781;-34.6065;Villa del Parque;11;Hospitales y Centros de Salud;Gral. José G. Artigas 2262
CESAC Nº 39;-58.4098;-34.631;Parque Patricios;4;Hospitales y Centros de Salud;24 de noviembre 1679
CESAC Nº 41;-58.3578;-34.6313;La Boca;4;Hospitales y Centros de Salud;Ministro Brin 843
CESAC Nº 45;-58.4022;-34.6255;San Cristobal;3;Hospitales y Centros de Salud;Cochabamba  2622
